hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,12.4,1.2,rain,75,3.2,1,tramwaj,RF316,1-05,Salwator–Jarzębiny,Salwator,Jarzębiny 02,45,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,21,tramwaj,HL401,21-01,Os.Piastów–Pleszów,Os.Piastów,Kopiec Wandy 02,30,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,21,tramwaj,HL402,21-01,Os.Piastów–Pleszów,Kopiec Wandy,Os. Piastów 01,30,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,77,tramwaj,HL439,77-06,Nowy Bieżanów–Dworzec Towarowy,Dworzec Towarowy,Nowy Bieżanów P+R 01,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,76,tramwaj,RP632,76-01,Mały Płaszów–Cmentarz Rakowicki,Mały Płaszów P+R,Cmentarz Rakowicki 01,20,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,77,tramwaj,RP640,77-03,Nowy Bieżanów–Dworzec Towarowy,Nowy Bieżanów P+R,Dworzec Towarowy 02,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,20,tramwaj,HY716,20-03,Mały Płaszów–Cichy Kącik,Mały Płaszów P+R,Cichy Kącik 01,20,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,14,tramwaj,HY739,14-03,Bronowice–Miśnieńska,Bronowice,Miśnieńska 02,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,3,tramwaj,HY840,3-03,Nowy Bieżanów–Krowodrza,Nowy Bieżanów P+R,Krowodrza Górka P+R 03,35,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,3,tramwaj,HY868,3-06,Nowy Bieżanów–Krowodrza,Krowodrza G. P+R,Nowy Bieżanów P+R 01,35,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,52,tramwaj,RG909,52-08,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Os. Piastów 01,30,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,4,tramwaj,RG913,4-02,Bronowice–Nowa Huta,Zaj. Nowa Huta,Bronowice Małe 01,40,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,22,tramwaj,HY863,22-03,Borek Fałęcki–Kopiec Wandy,Borek Fałęcki,Plac Centralny im. R.Reagana 01,40,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,14,tramwaj,HY715,14-02,Bronowice–Miśnieńska,Bronowice,Rondo Hipokratesa 02,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,72,tramwaj,RF325,72-03,Rondo Grunwaldzkie–Czerwone Maki,Czerwone Maki P+R,Lipińskiego 01,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,11,tramwaj,RP644,11-03,Czerwone Maki–Mały Płaszów,Czerwone Maki P+R,Łagiewniki 05,30,0.0,on_time,0.0,False
