hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,24.47,0.0,clouds,25,6.17,1,tramwaj,HK457,1-01,Salwator–Jarzębiny,Salwator,Jarzębiny 02,45,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,HY712,50-10,Borek Fałęcki–Górka Narodowa,Kurdwanów P+R,Górka Narodowa P+R 01,45,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,20,tramwaj,RY811,20-02,Mały Płaszów–Cichy Kącik,Cichy Kącik,Mały Płaszów P+R 01,20,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,10,tramwaj,RY834,10-07,Kurdwanów–Pleszów,Pleszów,Kurdwanów P+R 03,25,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,3,tramwaj,HY853,3-02,Nowy Bieżanów–Krowodrza,Krowodrza G. P+R,Nowy Bieżanów P+R 01,35,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,10,tramwaj,HY854,10-03,Kurdwanów–Pleszów,Kurdwanów P+R,Pleszów 01,25,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,3,tramwaj,HY855,3-05,Nowy Bieżanów–Krowodrza,Nowy Bieżanów P+R,Krowodrza Górka P+R 03,35,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,20,tramwaj,RY879,20-05,Mały Płaszów–Cichy Kącik,Mały Płaszów P+R,Cichy Kącik 01,20,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,52,tramwaj,HG916,52-02,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Os. Piastów 01,30,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,4,tramwaj,HG920,4-04,Bronowice–Nowa Huta,Zaj. Nowa Huta,Bronowice Małe 01,40,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,HY866,50-11,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Górka Narodowa P+R 01,45,-1.0,on_time,-0.022222222222222223,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,3,tramwaj,HY844,3-01,Nowy Bieżanów–Krowodrza,Krowodrza G. P+R,Podgórze SKA 02,35,-1.0,on_time,-0.02857142857142857,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,22,tramwaj,HY860,22-06,Borek Fałęcki–Kopiec Wandy,Kopiec Wandy,Kopiec Wandy 02,40,-1.0,on_time,-0.025,False
